"aou","species_code"
3110,"placha"
2920,"mouqua"
2890,"norbob"
2930,"scaqua"
2940,"calqua"
2950,"gamqua"
2960,NA
2882,"chukar"
2881,"grypar"
3091,"rinphe"
3095,NA
3000,"rufgro"
3090,"saggro"
3089,NA
2980,NA
3010,NA
3020,NA
3040,NA
2970,NA
2971,"soogro1"
3080,"shtgro"
3050,"grpchi"
3070,"lepchi"
3100,"wiltur"
3131,"rocpig"
3140,"whcpig2"
3130,"rebpig1"
3120,"batpig1"
3152,NA
22860,"eucdov"
3151,"spodov"
3210,"incdov"
3200,NA
3201,NA
3180,"whtdov"
3190,"whwdov"
3160,"moudov"
3870,"yebcuc"
3860,"mancuc"
3880,"bkbcuc"
3850,"greroa"
3830,"smbani"
3840,"grbani"
4220,"blkswi"
4230,"chiswi"
4240,"vauswi"
4250,"whtswi"
4260,NA
4270,NA
4370,"luchum"
4280,"rthhum"
4290,"bkchum"
4310,"annhum"
4300,"coshum"
4320,"brthum"
4330,"rufhum"
4340,"allhum"
4360,"calhum"
4410,"brbhum"
4390,"bubhum"
4391,"vichum"
21930,NA
3890,"eletro"
4080,"lewwoo"
4060,"rehwoo"
4070,"acowoo"
4110,"gilwoo"
4100,"gofwoo"
4090,"rebwoo"
4040,"wilsap"
4020,"yebsap"
4021,"rensap"
4030,"rebsap"
3960,"labwoo"
3970,"nutwoo"
3940,"dowwoo"
3930,"haiwoo"
3975,"ariwoo"
3950,"recwoo"
3990,"whhwoo"
4010,"attwoo1"
4000,"bkbwoo"
4120,NA
4130,NA
4140,"gilfli"
4050,"pilwoo"
3824,"monpar"
51830,"bkhpar"
52021,"yecpar"
3826,"recpar"
3823,NA
3822,NA
4720,"nobtyr"
4590,"olsfly"
4600,"grepew"
4620,"wewpew"
4610,"eawpew"
4630,"yebfly"
4650,"acafly"
4661,"aldfly"
4660,"wilfly"
4670,"leafly"
4680,"hamfly"
4691,"gryfly"
4690,"dusfly"
4641,"pasfly"
4640,"corfly"
4700,"bubfly"
4580,"blkpho"
4560,"easpho"
4570,"saypho"
4710,"verfly"
4550,"ducfly"
4540,"astfly"
4520,"grcfly"
4530,"bncfly"
4490,"grekis"
4510,"subfly"
4460,"trokin"
4461,"coukin"
4480,"caskin"
4451,"thbkin"
4470,"weskin"
4440,"easkin"
4450,"grykin"
4430,"sctfly"
4420,"fotfly"
6220,"logshr"
6210,"norshr4"
6300,"bkcvir1"
6310,"whevir"
6330,"belvir"
6340,"gryvir"
6320,"hutvir"
6280,"yetvir"
6291,"casvir"
6290,"buhvir"
6292,"plsvir"
6260,"phivir"
6270,"warvir"
6240,"reevir1"
6230,"bkwvir"
4840,NA
4830,"grnjay"
4920,"pinjay"
4780,"stejay"
4770,"blujay"
4790,"flsjay"
4811,"issjay"
4812,"cowscj1"
4813,"wooscj2"
4820,"mexjay4"
4910,"clanut"
4750,"bkbmag1"
4760,"yebmag"
4880,"amecro"
4890,"norcro"
4900,"fiscro"
4870,"chirav"
4860,"comrav"
4730,NA
4740,"horlar"
6110,"purmar"
6140,"treswa"
6150,"vigswa"
6170,"nrwswa"
6160,"banswa"
6120,"cliswa"
6121,"cavswa"
6130,"barswa"
7360,"carchi"
7350,"bkcchi"
7380,"mouchi"
7370,"mexchi"
7410,"chbchi"
7400,"borchi2"
7340,"britit"
7330,"oaktit"
7331,"juntit1"
7310,"tuftit"
7320,"blctit4"
7460,"verdin"
7430,"bushti"
7280,"rebnut"
7270,"whbnut"
7300,"pygnut"
7290,"bnhnut"
7260,"brncre"
7150,"rocwre"
7170,"canwre"
7210,"houwre"
7221,"pacwre1"
7222,"winwre3"
7240,"sedwre"
7250,"marwre"
7180,"carwre"
7190,"bewwre"
7130,"cacwre"
16600,NA
7510,"buggna"
7530,"calgna"
7520,"bktgna"
7480,"gockin"
7490,"ruckin"
7470,"arcwar1"
7420,"wrenti"
7640,"blueth"
7650,"norwhe"
7660,"easblu"
7670,"wesblu"
7680,"moublu"
7540,"towsol"
7560,"veery"
7570,"gycthr"
7571,"bicthr"
7580,"swathr"
7590,"herthr"
7550,"woothr"
7610,"amerob"
7630,"varthr"
7040,"grycat"
7070,"cubthr"
7050,"brnthr"
7060,"lobthr"
7080,"benthr"
7100,"calthr"
7110,NA
7120,"crithr"
7020,"sagthr"
7031,NA
7030,"normoc"
4930,"eursta"
4932,"commyn"
6180,"bohwax"
6190,"cedwax"
6200,"phaino"
6510,"oliwar"
19500,NA
6882,"houspa"
6883,"eutspa"
6960,"eaywag"
6940,"whiwag"
6990,NA
6970,"amepip"
7000,"sprpip"
5240,"gcrfin"
5250,"bkrfin"
5260,"bcrfin"
5150,"pingro"
5190,"houfin"
5170,"purfin"
5180,"casfin"
5210,"redcro"
5220,"whwcro"
5280,"comred"
5270,NA
5330,"pinsis"
5300,"lesgol"
5310,"lawgol"
5290,"amegfi"
5140,"evegro"
5360,"laplon"
5380,"chclon"
5370,"smilon"
5390,"mcclon"
5340,"snobun"
6740,"ovenbi1"
6390,"woewar1"
6760,"louwat"
6750,"norwat"
6420,"gowwar"
6410,"buwwar"
6412,NA
6413,NA
6360,"bawwar"
6370,"prowar"
6380,"swawar"
6470,"tenwar"
6460,"orcwar"
6430,"lucwar"
6450,"naswar"
6440,"virwar"
6780,"conwar"
6800,"macwar"
6790,"mouwar"
6770,"kenwar"
6810,"comyel"
6840,"hoowar"
6870,"amered"
6700,"kirwar"
6500,"camwar"
6580,"cerwar"
6480,"norpar"
6490,"tropar"
6570,"magwar"
6600,"babwar"
6620,"bkbwar"
6520,"yelwar"
6590,"chswar"
6610,"bkpwar"
6540,"btbwar"
6720,"palwar"
6710,"pinwar"
6550,NA
6560,NA
6630,"yetwar"
6730,"prawar"
6640,"grawar"
6650,"btywar"
6680,"towwar"
6690,"herwar"
6660,"gchwar"
6670,"btnwar"
6860,"canwar"
6850,"wlswar"
6900,"refwar"
6880,"paired"
6830,"yebcha"
5860,"olispa"
5900,"gnttow"
5880,"spotow"
5870,"eastow"
5800,"rucspa"
5910,"cantow"
5911,"caltow"
5920,"abetow"
5790,"ruwspa"
5760,"botspa"
5780,"casspa"
5750,"bacspa"
5590,"amtspa"
5600,"chispa"
5610,"clcspa"
5620,"brespa"
5630,"fiespa"
5650,"bkcspa"
5400,"vesspa"
5520,"larspa"
5730,"bktspa"
5738,"sagspa1"
5739,"belspa2"
6050,"larbun"
5420,"savspa"
5460,"graspa"
5450,"baispa"
5470,"henspa"
5480,NA
5491,"nstspa"
5490,"sstspa"
5500,"seaspa"
5850,"foxspa"
5810,"sonspa"
5830,"linspa"
5840,"swaspa"
5580,"whtspa"
5530,"harspa"
5540,"whcspa"
5570,"gocspa"
5670,NA
5671,NA
5680,NA
5660,NA
5690,NA
5700,"yeejun"
6090,"heptan"
6100,"sumtan"
6080,"scatan"
6070,"westan"
5930,"norcar"
5940,"pyrrhu"
5950,"robgro"
5960,"bkhgro"
5970,"blugrb1"
5990,"lazbun"
5980,"indbun"
6000,"varbun"
6010,"paibun"
6040,"dickci"
4940,"boboli"
4980,"rewbla"
5000,"tribla"
5010,"easmea"
5011,"wesmea"
4970,"yehbla"
5090,"rusbla"
5100,"brebla"
5110,"comgra"
5130,"botgra"
5120,"grtgra"
4961,"shicow"
4960,"brocow"
4950,"bnhcow"
5060,"orcori"
5050,"hooori"
5080,"bulori"
5032,NA
5031,"altori"
5030,"audori"
5070,"balori"
5040,"scoori"
